"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","colocated","queryTime"
"1","USGS","11468500","NOYO R NR FORT BRAGG CA","ST",39.42822378,-123.7377917,FALSE,2021-08-20 13:28:01
"2","USGS","11467750","GREENWOOD C A ELK CA","ST",39.1279585,-123.7100155,FALSE,2021-08-20 13:28:01
"3","USGS","11467710","ELK C A HWY 1 NR ELK CA","ST",39.10212588,-123.7016826,FALSE,2021-08-20 13:28:01
"4","USGS","11468100","BIG R NR MENDOCINO CA","ST",39.31322854,-123.6883459,FALSE,2021-08-20 13:28:01
"5","USGS","11468000","NAVARRO R NR NAVARRO CA","ST",39.17045608,-123.668069,FALSE,2021-08-20 13:28:01
"6","USGS","11467990","NF NAVARRO R NR NAVARRO CA","ST",39.15656697,-123.6386243,FALSE,2021-08-20 13:28:01
"7","USGS","11467600","GARCIA R NR POINT ARENA CA","ST",38.92629636,-123.6302925,FALSE,2021-08-20 13:28:01
"8","USGS","11467555","NF GUALALA R A MOUTH NR GUALALA CA","ST",38.77963288,-123.5000087,FALSE,2021-08-20 13:28:01
"9","USGS","11467230","FORT ROSS C A FORT ROSS CA","ST",38.51769065,-123.2416741,FALSE,2021-08-20 13:28:01
"10","USGS","11461000","RUSSIAN R NR UKIAH CA","ST",39.1954471,-123.1950048,FALSE,2021-08-20 13:28:01
"11","USGS","11462000","EF RUSSIAN R NR UKIAH CA","ST",39.1973914,-123.1875046,FALSE,2021-08-20 13:28:01
"12","USGS","11462050","RUSSIAN R A UKIAH CA","ST",39.13406009,-123.1863936,FALSE,2021-08-20 13:28:01
"13","USGS","11462500","RUSSIAN R NR HOPLAND CA","ST",39.02656314,-123.1305588,FALSE,2021-08-20 13:28:01
"14","USGS","11461500","EF RUSSIAN R NR CALPELLA CA","ST",39.24655605,-123.1302806,FALSE,2021-08-20 13:28:01
"15","USGS","11471500","EEL R A VAN ARSDALE DAM NR POTTER VALLEY CA","ST",39.38849566,-123.1161157,FALSE,2021-08-20 13:28:01
"16","USGS","382659123065001","JENNER GULCH A JENNER CA","ST",38.4497222,-123.1138889,FALSE,2021-08-20 13:28:01
"17","USGS","11462690","RUSSIAN R A HOPLAND CA","ST",38.9715653,-123.1066693,FALSE,2021-08-20 13:28:01
"18","USGS","382605123060701","RUSSIAN R NR JENNER CA","ST",38.4347222,-123.1019444,FALSE,2021-08-20 13:28:01
"19","USGS","382624123054401","WILLOW C MARSH NR JENNER CA","ST",38.44,-123.0955556,FALSE,2021-08-20 13:28:01
"20","USGS","382658123054101","SHEEPHOUSE C NR JENNER CA","ST",38.44944444,-123.0947222,FALSE,2021-08-20 13:28:01
"21","USGS","382551123041101","WILLOW C 1.8 MI US RUSSIAN R NR JENNER CA","ST",38.4308333,-123.0697222,FALSE,2021-08-20 13:28:01
"22","USGS","11463000","RUSSIAN R NR CLOVERDALE CA","ST",38.8793475,-123.0536124,FALSE,2021-08-20 13:28:01
"23","USGS","382754123030501","RUSSIAN R A CASINI RANCH NR DUNCANS MILLS CA","ST",38.465,-123.0513889,FALSE,2021-08-20 13:28:01
"24","USGS","11467210","RUSSIAN R A DUNCANS MILLS CA","ST",38.45352525,-123.0494456,FALSE,2021-08-20 13:28:01
"25","USGS","382701123025801","FREEZEOUT C NR DUNCANS MILLS CA","ST",38.45027778,-123.0494444,FALSE,2021-08-20 13:28:01
"26","USGS","382815123024601","AUSTIN C NR DUNCANS MILLS CA","ST",38.4708333,-123.046111,FALSE,2021-08-20 13:28:01
"27","USGS","384346123021701","DRY C NR ASTI CA","ST",38.72935447,-123.039168,FALSE,2021-08-20 13:28:01
"28","USGS","384142123013901","WARM SPRINGS C AB LK WARM SPRINGS C A SKAGGS CA","ST",38.69491047,-123.028612,FALSE,2021-08-20 13:28:01
"29","USGS","384141123013401","L WARM SPRINGS C A SKAGGS SPRINGS CA","ST",38.69463269,-123.027223,FALSE,2021-08-20 13:28:01
"30","USGS","384142123013401","LITTLE WARM SPRINGS C A SKAGGS SPRINGS CA","ST",38.69491046,-123.027223,FALSE,2021-08-20 13:28:01
"31","USGS","11467006","RUSSIAN R A VACATION BEACH CA","ST",38.48408015,-123.0124997,FALSE,2021-08-20 13:28:01
